Model,Iteration,MAE,MAPE,RMSE,MSE,Time_Taken,Predicted_At
Darts Theta,1,1972.6090031162948,0.0686901859189742,2394.791844808972,5735027.979963558,0.632727861404419,2025-01-16T18:57:25.541229
Darts Theta,2,1972.6090031162948,0.0686901859189742,2394.791844808972,5735027.979963558,0.6488692760467529,2025-01-16T18:58:43.415028
Darts Theta,3,1972.6090031162948,0.0686901859189742,2394.791844808972,5735027.979963558,0.6206448078155518,2025-01-16T19:00:18.787815
Darts Theta,1,1972.6090031162948,0.0686901859189742,2394.791844808972,5735027.979963558,0.628471851348877,2025-01-16T19:10:46.819539
Darts Theta,2,1972.6090031162948,0.0686901859189742,2394.791844808972,5735027.979963558,0.6069188117980957,2025-01-16T19:12:08.285511
Darts Theta,3,1972.6090031162948,0.0686901859189742,2394.791844808972,5735027.979963558,0.5927741527557373,2025-01-16T19:13:41.560858
Darts Theta,1,1972.6090031162948,0.0686901859189742,2394.791844808972,5735027.979963558,0.627490758895874,2025-01-16T19:30:35.927449
Darts Theta,2,1972.6090031162948,0.0686901859189742,2394.791844808972,5735027.979963558,0.6346414089202881,2025-01-16T19:31:58.467398
Darts Theta,3,1972.6090031162948,0.0686901859189742,2394.791844808972,5735027.979963558,0.6274054050445557,2025-01-16T19:33:32.244830
Darts Theta,1,1972.6090031162948,0.0686901859189742,2394.791844808972,5735027.979963558,0.6317903995513916,2025-01-16T19:37:32.693879
Darts Theta,2,1972.6090031162948,0.0686901859189742,2394.791844808972,5735027.979963558,0.6172418594360352,2025-01-16T19:38:53.439580
Darts Theta,3,1972.6090031162948,0.06869018591897424,2394.7918448089717,5735027.979963558,0.668363094329834,2025-01-16T19:40:26.742151
