Model,Iteration,MAE,MAPE,RMSE,MSE,Time_Taken,Training_Rows,Test_Rows,Predicted_At
H2O GBM,1,2268.045229873904,0.0744889783087299,3003.5689712689987,9021426.56516991,43.52218198776245,42393,10582,2025-01-16T18:57:25.541229
H2O GBM,2,2268.045229873904,0.0744889783087299,3003.5689712689987,9021426.56516991,59.55744981765747,42393,10582,2025-01-16T18:58:43.415028
H2O GBM,3,2268.045229873904,0.0744889783087299,3003.5689712689987,9021426.56516991,59.59238052368164,42393,10582,2025-01-16T19:00:18.787815
H2O GBM,1,2268.045229873904,0.0744889783087299,3003.5689712689987,9021426.56516991,45.69249558448792,42393,10582,2025-01-16T19:10:46.819539
H2O GBM,2,2268.045229873904,0.0744889783087299,3003.5689712689987,9021426.56516991,59.84654426574707,42393,10582,2025-01-16T19:12:08.285511
H2O GBM,3,2268.045229873904,0.0744889783087299,3003.5689712689987,9021426.56516991,59.76865792274475,42393,10582,2025-01-16T19:13:41.560858
H2O GBM,1,2268.045229873904,0.0744889783087299,3003.5689712689987,9021426.56516991,46.9731080532074,42393,10582,2025-01-16T19:30:35.927449
H2O GBM,2,2268.045229873904,0.0744889783087299,3003.5689712689987,9021426.56516991,59.61387896537781,42393,10582,2025-01-16T19:31:58.467398
H2O GBM,3,2268.045229873904,0.0744889783087299,3003.5689712689987,9021426.56516991,59.55243706703186,42393,10582,2025-01-16T19:33:32.244830
H2O GBM,1,2268.045229873904,0.0744889783087299,3003.5689712689987,9021426.56516991,45.745906591415405,42393,10582,2025-01-16T19:37:32.693879
H2O GBM,2,2268.045229873904,0.0744889783087299,3003.5689712689987,9021426.56516991,59.6212854385376,42393,10582,2025-01-16T19:38:53.439580
H2O GBM,3,2268.045229873904,0.07448897830872994,3003.5689712689987,9021426.56516991,60.01283049583435,42393,10582,2025-01-16T19:40:26.742151
